Entity,Code,Year,Fossil fuels (TWh growth)
Bangladesh,BGD,2009,23.480819702148438
Bangladesh,BGD,2010,4.960205078125
Bangladesh,BGD,2011,21.305511474609375
Bangladesh,BGD,2012,19.37890625
Bangladesh,BGD,2013,8.89697265625
Bangladesh,BGD,2014,12.61297607421875
Bangladesh,BGD,2015,49.990020751953125
Bangladesh,BGD,2016,6.126190185546875
Bangladesh,BGD,2017,14.0283203125
Bangladesh,BGD,2018,23.1370849609375
Bangladesh,BGD,2019,45.679779052734375
Bangladesh,BGD,2020,-13.611083984375
Bangladesh,BGD,2021,20.44915771484375
Belarus,BLR,1986,57.794677734375
Belarus,BLR,1987,6.780975341796875
Belarus,BLR,1988,6.78564453125
Belarus,BLR,1989,-15.74432373046875
Belarus,BLR,1990,2.31182861328125
Belarus,BLR,1991,-1.06036376953125
Belarus,BLR,1992,-61.74755859375
Belarus,BLR,1993,-66.04940795898438
Belarus,BLR,1994,-55.29864501953125
Belarus,BLR,1995,-31.11041259765625
Belarus,BLR,1996,6.443939208984375
Belarus,BLR,1997,2.948089599609375
Belarus,BLR,1998,-5.771026611328125
Belarus,BLR,1999,-6.907470703125
Belarus,BLR,2000,7.61993408203125
Belarus,BLR,2001,-7.10845947265625
Belarus,BLR,2002,8.569549560546875
Belarus,BLR,2003,-1.936309814453125
Belarus,BLR,2004,30.477447509765625
Belarus,BLR,2005,-0.938262939453125
Belarus,BLR,2006,17.9932861328125
Belarus,BLR,2007,-7.410247802734375
Belarus,BLR,2008,3.732574462890625
Belarus,BLR,2009,-16.35382080078125
Belarus,BLR,2010,23.455810546875
Belarus,BLR,2011,-5.477874755859375
Belarus,BLR,2012,24.457122802734375
Belarus,BLR,2013,-30.546661376953125
Belarus,BLR,2014,0.15185546875
Belarus,BLR,2015,-27.970550537109375
Belarus,BLR,2016,5.615234375
Belarus,BLR,2017,4.058258056640625
Belarus,BLR,2018,29.58013916015625
Belarus,BLR,2019,1.146697998046875
Belarus,BLR,2020,-23.54193115234375
Belarus,BLR,2021,6.609619140625
Belgium,BEL,1966,-15.179107666015625
Belgium,BEL,1967,19.726593017578125
Belgium,BEL,1968,47.8380126953125
Belgium,BEL,1969,45.5098876953125
Belgium,BEL,1970,28.66961669921875
Belgium,BEL,1971,-9.7637939453125
Belgium,BEL,1972,33.23126220703125
Belgium,BEL,1973,7.06500244140625
Belgium,BEL,1974,-19.9261474609375
Belgium,BEL,1975,-51.34478759765625
Belgium,BEL,1976,22.63433837890625
Belgium,BEL,1977,-5.32330322265625
Belgium,BEL,1978,22.444580078125
Belgium,BEL,1979,19.538818359375
Belgium,BEL,1980,-28.53924560546875
Belgium,BEL,1981,-28.964599609375
Belgium,BEL,1982,-30.452392578125
Belgium,BEL,1983,-39.797271728515625
Belgium,BEL,1984,12.136749267578125
Belgium,BEL,1985,3.5284423828125
Belgium,BEL,1986,3.379119873046875
Belgium,BEL,1987,9.309356689453125
Belgium,BEL,1988,8.383544921875
Belgium,BEL,1989,9.84271240234375
Belgium,BEL,1990,22.3365478515625
Belgium,BEL,1991,21.1849365234375
Belgium,BEL,1992,-3.290771484375
Belgium,BEL,1993,-5.657440185546875
Belgium,BEL,1994,36.147430419921875
Belgium,BEL,1995,5.915771484375
Belgium,BEL,1996,36.46142578125
Belgium,BEL,1997,-4.24462890625
Belgium,BEL,1998,17.126220703125
Belgium,BEL,1999,-13.63934326171875
Belgium,BEL,2000,15.05712890625
Belgium,BEL,2001,-0.5948486328125
Belgium,BEL,2002,-5.58172607421875
Belgium,BEL,2003,28.82550048828125
Belgium,BEL,2004,3.025390625
Belgium,BEL,2005,-10.36895751953125
Belgium,BEL,2006,2.92156982421875
Belgium,BEL,2007,0.09765625
Belgium,BEL,2008,17.3658447265625
Belgium,BEL,2009,-58.540283203125
Belgium,BEL,2010,40.946044921875
Belgium,BEL,2011,-55.87310791015625
Belgium,BEL,2012,-13.93316650390625
Belgium,BEL,2013,10.3780517578125
Belgium,BEL,2014,-27.9605712890625
Belgium,BEL,2015,24.5826416015625
Belgium,BEL,2016,6.85845947265625
Belgium,BEL,2017,7.52801513671875
Belgium,BEL,2018,26.373291015625
Belgium,BEL,2019,-19.9674072265625
Belgium,BEL,2020,-61.6650390625
Belgium,BEL,2021,41.65838623046875
Brazil,BRA,1966,17.840347290039062
Brazil,BRA,1967,7.0051422119140625
Brazil,BRA,1968,39.88246154785156
Brazil,BRA,1969,25.992095947265625
Brazil,BRA,1970,38.23193359375
Brazil,BRA,1971,31.030731201171875
Brazil,BRA,1972,51.362884521484375
Brazil,BRA,1973,87.08975219726562
Brazil,BRA,1974,40.156890869140625
Brazil,BRA,1975,22.453125
Brazil,BRA,1976,45.4395751953125
Brazil,BRA,1977,24.63079833984375
Brazil,BRA,1978,59.79010009765625
Brazil,BRA,1979,37.43780517578125
Brazil,BRA,1980,-15.302734375
Brazil,BRA,1981,-31.57305908203125
Brazil,BRA,1982,16.01019287109375
Brazil,BRA,1983,-17.54095458984375
Brazil,BRA,1984,28.74749755859375
Brazil,BRA,1985,31.893310546875
Brazil,BRA,1986,67.95941162109375
Brazil,BRA,1987,28.1177978515625
Brazil,BRA,1988,14.82159423828125
Brazil,BRA,1989,5.1319580078125
Brazil,BRA,1990,-25.3843994140625
Brazil,BRA,1991,25.3287353515625
Brazil,BRA,1992,54.93963623046875
Brazil,BRA,1993,40.2049560546875
Brazil,BRA,1994,59.93096923828125
Brazil,BRA,1995,47.72808837890625
Brazil,BRA,1996,65.0770263671875
Brazil,BRA,1997,75.0789794921875
Brazil,BRA,1998,42.172607421875
Brazil,BRA,1999,29.8099365234375
Brazil,BRA,2000,13.6903076171875
Brazil,BRA,2001,40.587158203125
Brazil,BRA,2002,-1.7847900390625
Brazil,BRA,2003,-8.803466796875
Brazil,BRA,2004,69.7081298828125
Brazil,BRA,2005,23.9989013671875
Brazil,BRA,2006,28.902099609375
Brazil,BRA,2007,57.8726806640625
Brazil,BRA,2008,88.98193359375
Brazil,BRA,2009,-90.0994873046875
Brazil,BRA,2010,215.8095703125
Brazil,BRA,2011,87.728271484375
Brazil,BRA,2012,95.86669921875
Brazil,BRA,2013,145.7041015625
Brazil,BRA,2014,84.109375
Brazil,BRA,2015,-114.8447265625
Brazil,BRA,2016,-146.9488525390625
